burst, dur=10, thsld=60, words=せせせ, TP: 28, FP: 712, TN: NaN, FN: 50
burst, dur=7, thsld=70, words=せせせ, TP: 1, FP: 21, TN: NaN, FN: 77
burst, dur=4, thsld=80, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=1, thsld=90, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=1, thsld=70, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=5, thsld=80, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=8, thsld=70, words=せせせ, TP: 6, FP: 82, TN: NaN, FN: 72
burst, dur=2, thsld=90, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=2, thsld=70, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=9, thsld=70, words=せせせ, TP: 17, FP: 183, TN: NaN, FN: 61
burst, dur=6, thsld=80, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=3, thsld=90, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=3, thsld=70, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=10, thsld=70, words=せせせ, TP: 21, FP: 296, TN: NaN, FN: 57
burst, dur=7, thsld=80, words=せせせ, TP: 1, FP: 3, TN: NaN, FN: 77
burst, dur=4, thsld=90, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=5, thsld=90, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=2, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=9, thsld=100, words=せせせ, TP: 0, FP: 1, TN: NaN, FN: 78
burst, dur=6, thsld=90, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=3, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=10, thsld=100, words=せせせ, TP: 1, FP: 6, TN: NaN, FN: 77
burst, dur=7, thsld=90, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=4, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=8, thsld=90, words=せせせ, TP: 0, FP: 3, TN: NaN, FN: 78
burst, dur=5, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=9, thsld=90, words=せせせ, TP: 1, FP: 8, TN: NaN, FN: 77
burst, dur=6, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=7, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=10, thsld=90, words=せせせ, TP: 1, FP: 26, TN: NaN, FN: 77
burst, dur=8, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
burst, dur=1, thsld=100, words=せせせ, TP: 0, FP: 0, TN: NaN, FN: 78
rise, mov_av,window=10, step=1, TP: 6, FP: 1495, TN: NaN, FN: 72
rise, mov_av,window=50, step=3, TP: 64, FP: 5845, TN: NaN, FN: 15
rise, mov_av,window=70, step=2, TP: 67, FP: 7635, TN: NaN, FN: 12
